Proprietary  Name,Active Ingredient/Moiety,Applicant,NDA/BLA, Application Number(1), Application Number(2), Application Number(3),Dosage Form(1),Route of Administration(1),Dosage Form(2),Route of Administration(2),Dosage Form(3),Route of Administration(3),FDA Receipt Date,FDA Approval Date,Approval Year,Abbreviated Indication(s),Approved Use(s),Review Designation,Orphan Drug Designation,Accelerated Approval,Breakthrough Therapy Designation,Fast Track Designation,Qualified Infectious Disease Product,Issued a Priority Review Voucher,Redeemed a Priority Review Voucher,Notes
Tequin,gatifloxacin,Bristol-Myers Squibb,NDA,21061,21062,,Tablet,Oral,Injectable,Injection,,,12/28/1998,12/17/1999,1999,"indicated for the treatment of infections caused by susceptible strains of designated microorganisms in the
following conditions: acute bacterial exacerbation of chronic bronchitis, acute sinusitis, community-acquired pneumonia, uncomplicated and complicated urinary tract infections, pyelonephritis, and uncomplicated gonorrhea",,Standard,No,No,N/A,No,N/A,N/A,N/A,
Inomax,nitric oxide,Ino Therapeutics,NDA,20845,,,Gas,Inhalation,,,,,6/16/1997,12/23/1999,1999,"indicated in conjunction with ventilatory support and other appropriate agents, is indicated for the treatment of term and near-term (>34 weeks) neonates with hypoxic respiratory failure associated with clinical or echocardiographic evidence or pulmonary hypertension, where it improves oxygenation and reduces the need for extracorporeal membrane oxygenation",,Priority,Yes,No,N/A,No,N/A,N/A,N/A,
Targretin,bexarotene,Ligand Pharms,NDA,21055,,,Capsule,Oral,,,,,6/23/1999,12/29/1999,1999,treatment of cutaneous manifestations of cutaneous T-cell lymphoma in patients who are refractory to at least one prior systemic therapy,,Priority,Yes,No,N/A,No,N/A,N/A,N/A,
Evoxac,cevimeline hydrochloride,Snowbrand Pharmaceuticals,NDA,20989,,,Capsule,Oral,,,,,8/27/1998,1/11/2000,2000,treatment of symptoms of dry mouth in patients with Sjögren's Syndrome,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Trileptal,oxcarbazepine,Novartis Pharmaceuticals,NDA,21014,,,Tablet,Oral,,,,,9/25/1998,1/14/2000,2000,indicated for use as monotherapy or adjunctive therapy in the treatment of partial seizures in adults with epilepsy and as adjunctive therapy in the treatment of partial seizures in children ages 4-16 with epilepsy,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Protonix,pantoprazole sodium,Wyeth-Ayerst Laboratories,NDA,20987,,,"Tablet, Delayed Release",Oral,,,,,6/30/1998,2/2/2000,2000,short-term treatment (up to 8 weeks) in the healing and symptomatic relief of erosive esophagitis,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Lotronex,alosetron hydrochloride,Glaxo Wellcome,NDA,21107,,,Tablet,Oral,,,,,6/30/1999,2/9/2000,2000,treatment of irritable bowel syndrome (IBS) in female patients whose predominant bowel symptom is diarrhea,,Priority,No,No,N/A,No,N/A,N/A,N/A,
Skin Exposure Reduction Paste Against Chemical Warfare Agents (SERPACWA),"perfluoroalkylpolyether, polytetrafluoroethylene",US Army Medical Research and Materiel Command,NDA,21084,,,Paste,Topical,,,,,8/19/1999,2/17/2000,2000,in conjunction with Mission Oriented Protective Posture (MOPP) gear to reduce or delay the absorption of chemical warfare agents through the skin when applied prior to exposure,,Priority,No,No,N/A,No,N/A,N/A,N/A,
Zonegran,zonisamide,Elan Pharmaceuticals,NDA,20789,,,Capsule,Oral,,,,,3/19/1997,3/27/2000,2000,indicated as an adjunctive therapy in the treatment of partial seizures in adults with epilepsy,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Septocaine,"articaine hydrochloride, ephinephrine",Deproco,NDA,20971,,,Injectable,Injection,,,,,3/30/1998,4/3/2000,2000,"indicated for local, infiltrative, or conductive anesthesia in both simple and complex dental and periodontal procedures",,Standard,No,No,N/A,No,N/A,N/A,N/A,
Visudyne,verteporfin,QLT Phototherapeutics,NDA,21119,,,Injectable,Injection,,,,,8/16/1999,4/12/2000,2000,treatment of age-related macular degeneration in patients with predominantly classic subfoveal choroidal neovascularization,,Priority,No,No,N/A,No,N/A,N/A,N/A,
Mobic,meloxicam,Boehringer Ingelheim Pharmaceuticals,NDA,20938,,,Tablet,Oral,,,,,12/16/1998,4/13/2000,2000,indicated for the relief of the signs and symptoms of osteoarthritis,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Zyvox,linezolid,Pharmacia and Upjohn,NDA,21130,21131,21132,Tablet,Oral,Injectable,Injection,Suspension ,Oral,10/18/1999,4/18/2000,2000,"treatment of adult patients with vancomycin-resistant Enterococcus faecium infections, nosocomial pneumonia, complicated and uncomplicated skin and skin structure infections, and community-acquired pneumonia",,Priority,No,No,N/A,No,N/A,N/A,N/A,
Lantus,insulin glargine,Aventis Pharmaceuticals,BLA,21081,,,Injectable,Injection,,,,,4/23/1999,4/20/2000,2000,treatment of adult and pediatric patients with type 1 diabetes mellitus or adult patients with type 2 diabetes mellitus who require basal (long-acting) insulin for the control of hyperglycemia,,Standard,No,No,N/A,No,N/A,N/A,N/A,Transition Product from NDA to BLA due to BPCI : Please see page 2 of data dictionary for more information.
Exelon,rivastigmine tartrate,Novartis Pharmaceuticals,NDA,20823,21025,,Capsule,Oral,Solution,Oral,,,4/7/1997,4/21/2000,2000,treatment of mild to moderate dementia of the Alzheimer’s type,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Mylotarg,gemtuzumab ozogamicin,Wyeth-Ayerst,NDA,21174,,,Injectable,Injection,,,,,10/29/1999,5/17/2000,2000,treatment of patients with CD33 positive acute myeloid leukemia in first relapse who are 60 years of age or older and who are not considered candidates for cytotoxic chemotherapy,,Priority,Yes,Yes,N/A,No,N/A,N/A,N/A,
Welchol,colesevelam hydrochloride,GelTex,NDA,21176,21141,,Tablet,Oral,Capsule,Oral,,,7/30/1999,5/26/2000,2000,"alone or in combination with an HMG-CoA reductase inhibitor, for the reduction of elevated LDL-cholesterol in patients with primary hypercholesterolemia (Frederickson Type IIa)",,Standard,No,No,N/A,No,N/A,N/A,N/A,
TNKase,tenecteplase,Genentech,BLA,103909,,,Injectable,Injection,,,,,8/2/1999,6/2/2000,2000,indicated for reduction of mortality associated with acute myocardial infarction (AMI),,Standard,No,No,N/A,No,N/A,N/A,N/A,
Novolog,insulin aspart recombinant,Novo Nordisk,BLA,20986,,,Injectable,Subcutaneous,,,,,9/16/1998,6/7/2000,2000,"treatment of adult patients with diabetes mellitus, for the control of hyperglycemia",,Standard,No,No,N/A,No,N/A,N/A,N/A,Transition Product from NDA to BLA due to BPCI : Please see page 2 of data dictionary for more information.
Trelstar Depot,triptorelin pamoate,Debio Recherche,NDA,20715,,,Injectable,Intramuscular,,,,,6/26/1996,6/15/2000,2000,palliative treatment of advanced prostate cancer,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Acova,argatroban,Texas Biotechnology Corporation,NDA,20883,,,Injectable,Injection,,,,,8/15/1997,6/30/2000,2000,indicated as an anticoagulant for prophylaxis or treatment of thrombosis in patients with heparin-induced thrombocytopenia,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Innohep,tinzaparin sodium,Dupont Pharmaceuticals,NDA,20484,,,Injectable,Injection,,,,,6/30/1999,7/14/2000,2000,treatment of acute symptomatic deep vein thrombosis with or without pulmonary embolism when administered in conjunction with warfarin sodium,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Colazal,balsalazide disodium,Salix Pharmaceuticals,NDA,20610,,,Capsule,Oral,,,,,6/23/1997,7/18/2000,2000,treatment of mildly to moderate active ulcerative colitis,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Abreva,docosanol,Avanir Pharmaceuticals,NDA,20941,,,Cream,Topical,,,,,12/22/1997,7/25/2000,2000,treatment of cold sores and fever blisters,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Rescula,unoprostone isopropyl,Ciba Vision,NDA,21214,,,Solution/Drops,Ophthalmic,,,,,2/15/2000,8/3/2000,2000,indicated for the lowering of intraocular pressure in patients with open-angel glaucoma or ocular hypertension who are intolerant of other intraocular pressure lowering medications or insufficiently responsive (failed to achieve target IOP determined after multiple measurements over time) to another intraocular pressure lowering medication,,Priority,No,No,N/A,No,N/A,N/A,N/A,
Cetrotide,cetrorelix acetate,Asta Medica,NDA,21197,,,Injectable,Injection,,,,,10/29/1999,8/11/2000,2000,prevention of premature LH surges in women undergoing controlled ovarian stimulation,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Kaletra,"lopinavir, ritonavir",Abbott Laboratories,NDA,21226,21251,,Capsule,Oral,Solution,Oral,,,6/1/2000,9/15/2000,2000,in combination with other antiretroviral agents for the treatment of HIV-1 infections in adults and pediatric patients age six months and older,,Priority,No,Yes,N/A,Yes,N/A,N/A,N/A,
Trisenox,arsenic trioxide,Cell Therapeutics,NDA,21248,,,Injectable,Injection,,,,,3/28/2000,9/25/2000,2000,"indicated for induction of remission and consolidation in patients with acute promyelocytic leukemia (APL) who are refractory to, or have relapsed from, retinoid and anthracycline chemotherapy, and whose APL is characterized by the presence of the t(15;17) translocation or PML/RAR-alpha gene expression",,Priority,Yes,No,N/A,Yes,N/A,N/A,N/A,
Mifeprex,mifepristone,Population Council,NDA,20687,,,Tablet,Oral,,,,,3/18/1996,9/28/2000,2000,indicated for medical termination of intrauterine pregnancy through 49 days’ pregnancy,,Priority,No,No,N/A,No,N/A,N/A,N/A,
Myobloc,botulinum toxin type B,Elan Pharmaceuticals,BLA,103846,,,Injectable,Injection,,,,,12/22/1998,12/8/2000,2000,treatment of patients with cervical dystonia to reduce the severity of abnormal head position and neck pain associated with cervical dystonia,,Standard,Yes,No,N/A,No,N/A,N/A,N/A,
Angiomax,bivalirudin,The Medicines Company,NDA,20873,,,Injectable,Intravenous,,,,,12/23/1997,12/15/2000,2000,indicated for use as an anticoagulant in conjunction with aspirin in patients with unstable angina undergoing percutaneous transluminal coronary angioplasty (PTCA),,Standard,No,No,N/A,No,N/A,N/A,N/A,
Starlix,nateglinide,Novartis Pharmaceuticals,NDA,21204,,,Tablet,Oral,,,,,12/17/1999,12/22/2000,2000,"indicated  as  monotherapy  to  lower  blood  glucose  in  patients  with  Type  2  diabetes (non-insulin   dependent   diabetes   mellitus,   NIDDM)   whose   hyperglycemia   cannot   be adequately controlled by diet and physical exercise and who have not been chronically treated with other anti-diabetic agents; also indicated   for   use   in   combination   with   metformin in  patients   whose hyperglycemia  is  inadequately  controlled  with  metformin,  Starlix    may  be  added  to,  but  not substituted for, metformin",,Standard,No,No,N/A,No,N/A,N/A,N/A,
Peg-Intron,peginterferon alfa-2b,Schering,BLA,103949,,,Injectable,Injection,,,,,12/23/1999,1/19/2001,2001,treatment of chronic hepatitis C in patients not previously treated with interferon alfa who have compensated liver disease and are at least 18 years of age,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Cancidas,caspofungin acetate,Merck Research Laboratories,NDA,21227,,,Powder,Intravenous,,,,,7/28/2000,1/26/2001,2001,treatment of invasive aspergillosis in patients who are refractory to or intolerant of other therapies,,Priority,No,No,N/A,Yes,N/A,N/A,N/A,
Geodon,ziprasidone hydrochloride,Pfizer Central Research,NDA,20825,,,Capsule,Oral,,,,,3/17/1997,2/5/2001,2001,treatment of schizophrenia,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Foradil,formoterol fumarate,Novartis Pharmaceuticals,NDA,20831,,,Powder,Inhalation,,,,,6/26/1997,2/16/2001,2001,"indicated for the long-term, administration in the maintenance treatment of asthma and in the prevention of bronchospasm in adults and children 5 years of age and older with reversible obstructive airways disease, including patients with symptoms of nocturnal asthma; also indicated for the acute prevention of exercise-induced bronchospasm (EIB) in adults and children 12 years of age and older, when administered on an occasional, as-needed basis",,Standard,No,No,N/A,No,N/A,N/A,N/A,
Reminyl,galantamine hydrobromide,Janssen Research Foundation,NDA,21169,,,Tablet,Oral,,,,,9/29/1999,2/28/2001,2001,treatment of mild to moderate dementia of the Alzheimer's type,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Travatan,travoprost,Alcon Research,NDA,21257,,,Solution/Drops,Ophthalmic,,,,,7/7/2000,3/16/2001,2001,indicated for the reduction of intraocular pressure in patients with open-angle glaucoma or ocular hypertension who are intolerant of other intraocular pressure lowering medications or insufficiently responsive (failed to achieve target IOP determined after multiple measurements over time) to another intraocular pressure lowering medication,,Priority,No,No,N/A,No,N/A,N/A,N/A,
Lumigan,bimatoprost,Allergan,NDA,21275,,,Solution/Drops,Ophthalmic,,,,,9/18/2000,3/16/2001,2001,indicated for the reduction of elevated intraocular pressure in patients with open angle glaucoma or ocular hypertension who are intolerant of other intraocular pressure lowering medications or insufficiently responsive (failed to achieve target IOP determined after multiple measurements over time) to another intraocular pressure lowering medication,,Priority,No,No,N/A,No,N/A,N/A,N/A,
Campath,alemtuzumab,Millennium and ILEX Partners,BLA,103948,,,Injectable,Injection,,,,,12/23/1999,5/7/2001,2001,treatment of patients with B-cell chronic lymphocytic leukemia who have been treated with alkylating agents and who have failed fludarabine therapy,,Priority,Yes,Yes,N/A,Yes,N/A,N/A,N/A,
Axert,almotriptan malate,Pharmacia and Upjohn,NDA,21001,,,Tablet,Oral,,,,,12/20/1999,5/7/2001,2001,indicated for the acute treatment of migraine with or without aura in adults,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Gleevec,imatinib mesylate,Novartis Pharmaceuticals,NDA,21335,,,Capsule,Oral,,,,,2/27/2001,5/10/2001,2001,"indicated for the treatment of patients with chronic myeloid leukemia (CML) in blast crisis, accelerated phase, or in chronic phase after failure of interferon-alpha therapy",,Priority,Yes,Yes,N/A,Yes,N/A,N/A,N/A,
Yasmin,"drospirenone,ethinyl estradiol",Berlex Laboratories,NDA,21098,,,Tablet,Oral,,,,,5/17/1999,5/11/2001,2001,indicated for the prevention of pregnancy in women who elect to use an oral contraceptive,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Definity,perflutren lipid microsphere,Dupont Pharmaceuticals,NDA,21064,,,Injectable,Intravenous,,,,,12/9/1998,7/31/2001,2001,indicated for use in patients with suboptimal echocardiograms to opacify the left ventricular chamber and to improve the delineation of the left ventricular endocardial border,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Natrecor,nesiritide,Scios,NDA,20920,,,For Solution,Intravenous,,,,,4/27/1998,8/10/2001,2001,treatment of patients with acutely decompensated congestive heart failure who have dyspnea at rest or with minimal activity,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Zometa,zoledronic acid,Novartis Pharmaceuticals,NDA,21223,,,Injectable,Intravenous,,,,,12/21/1999,8/20/2001,2001,treatment of hypercalcemia of malignancy,,Priority,Yes,No,N/A,No,N/A,N/A,N/A,
Spectracef,cefditoren pivoxil,TAP Pharmaceutical Products,NDA,21222,,,Tablet,Oral,,,,,12/29/1999,8/29/2001,2001,"treatment of acute bacterial exacerbation of chronic bronchitis, pharyngitis/tonsillitis, and uncomplicated skin and skin structure infections",,Standard,No,No,N/A,No,N/A,N/A,N/A,
Aranesp,darbepoetin alfa,Amgen,BLA,103951,,,Injectable,Injection,,,,,12/28/1999,9/17/2001,2001,"treatment of anemia associated with chronic renal failure, including patients on dialysis and patients not on dialysis",,Standard,No,No,N/A,No,N/A,N/A,N/A,
NuvaRing,"etonogestrel, ethinyl estradiol",Organon,NDA,21187,,,Ring,Vaginal,,,,,12/28/1999,10/3/2001,2001,indicated for the prevention of pregnancy in women who elect to use this product as a method of contraception,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Viread,tenofovir disoproxil fumarate,Gilead Sciences,NDA,21356,,,Tablet,Oral,,,,,5/1/2001,10/26/2001,2001,in combination with other antiretroviral agents for the treatment of HIV-1 infection in adults,,Priority,No,Yes,N/A,Yes,N/A,N/A,N/A,
Frova,frovatriptan,Elan Pharmaceuticals,NDA,21006,,,Tablet,Oral,,,,,1/29/1999,11/8/2001,2001,acute treatment of migraine,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Kineret,anakinra,Amgen,BLA,103950,,,Injectable,Injection,,,,,12/28/1999,11/14/2001,2001,"indicated for the reduction in signs and symptoms of moderately to severely active rheumatoid arthritis, in patients 18 years of age or older who have failed one or more disease modifying antirheumatic drugs (DMARDs)",,Standard,No,No,N/A,No,N/A,N/A,N/A,
Bextra,valdecoxib,GD Searle,NDA,21341,,,Tablet,Oral,,,,,1/16/2001,11/16/2001,2001,indicated for the relief of signs and symptoms of osteoarthritis and adult rheumatoid arthritis and for the treatment of primary dysmenorrhea,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Avodart,dutasteride,GlaxoSmithKline,NDA,21319,,,Capsule,Oral,,,,,12/21/2000,11/20/2001,2001,treatment of symptomatic benign prostatic hyperplasia in men with an enlarged prostate gland,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Ortho Evra,"norelgestromin, ethinyl estradiol",RW Johnson Pharmaceutical Research,NDA,21180,,,"Film, Extended Release",Transdermal,,,,,12/21/2000,11/20/2001,2001,indicated for the prevention of pregnancy,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Tracleer,bosentan,Actelion Pharmaceuticals,NDA,21290,,,Tablet,Oral,,,,,11/17/2000,11/20/2001,2001,indicated for the treatment of pulmonary arterial hypertension,,Standard,Yes,No,N/A,No,N/A,N/A,N/A,
Invanz,ertapenem sodium,Merck,NDA,21337,,,Injectable,"Intramuscular, Intravenous",,,,,11/30/2000,11/21/2001,2001,"treatment of complicated intra-abdominal infections; complicated skin and skin structure infections; community acquired pneumonia; complicated urinary tract infections including pyelonephritis; acute pelvic infections including postpartum endomyometritis, septic abortion and post surgical gynecologic infections",,Standard,No,No,N/A,No,N/A,N/A,N/A,
